timestamp,open,high,low,close,volume
2023-12-06 04:00:00,193.42,193.84,193.42,193.75,5047
2023-12-06 04:05:00,193.76,193.81,193.7,193.75,1493
2023-12-06 04:10:00,193.8,193.94,193.76,193.92,3770
2023-12-06 04:15:00,193.85,193.89,193.59,193.64,10863
2023-12-06 04:20:00,193.64,193.76,193.62,193.71,1117
2023-12-06 04:25:00,193.73,193.76,193.63,193.73,1797
2023-12-06 04:30:00,193.7,193.72,193.66,193.72,802
2023-12-06 04:35:00,193.67,193.72,193.6,193.62,6251
2023-12-06 04:40:00,193.62,193.62,193.51,193.53,481
2023-12-06 04:45:00,193.58,193.7,193.57,193.7,3141
2023-12-06 04:50:00,193.7,193.7,193.55,193.57,9764
2023-12-06 04:55:00,193.57,193.57,193.49,193.51,2273
2023-12-06 05:00:00,193.51,193.65,193.51,193.65,1387
2023-12-06 05:05:00,193.63,193.78,193.57,193.67,2621
2023-12-06 05:10:00,193.69,193.77,193.69,193.72,890
2023-12-06 05:15:00,193.7,193.73,193.66,193.69,70
2023-12-06 05:20:00,193.69,193.69,193.65,193.65,117
2023-12-06 05:25:00,193.67,193.68,193.63,193.68,249
2023-12-06 05:30:00,193.65,193.68,193.63,193.68,636
2023-12-06 05:35:00,193.68,193.68,193.62,193.65,264
2023-12-06 05:40:00,193.63,193.69,193.63,193.66,197
2023-12-06 05:45:00,193.69,193.71,193.66,193.66,1204
2023-12-06 05:50:00,193.69,193.75,193.65,193.68,1421
2023-12-06 05:55:00,193.65,193.74,193.65,193.7,742
2023-12-06 06:00:00,193.7,193.7,193.66,193.68,169
2023-12-06 06:05:00,193.65,193.71,193.64,193.67,1441
2023-12-06 06:10:00,193.65,193.7,193.57,193.57,1803
2023-12-06 06:15:00,193.57,193.64,193.51,193.56,965
2023-12-06 06:20:00,193.52,193.58,193.4,193.41,4339
2023-12-06 06:25:00,193.47,193.53,193.4,193.46,997
2023-12-06 06:30:00,193.44,193.44,193.31,193.36,2382
2023-12-06 06:35:00,193.36,193.38,193.3,193.32,1636
2023-12-06 06:40:00,193.31,193.45,193.3,193.45,2510
2023-12-06 06:45:00,193.45,193.53,193.45,193.51,398
2023-12-06 06:50:00,193.51,193.55,193.44,193.45,6498
2023-12-06 06:55:00,193.45,193.45,193.39,193.45,1532
2023-12-06 07:00:00,193.43,193.55,193.38,193.39,12075
2023-12-06 07:05:00,193.39,193.46,193.3,193.35,8083
2023-12-06 07:10:00,193.36,193.39,193.31,193.32,3082
2023-12-06 07:15:00,193.32,193.35,193.23,193.28,6983
2023-12-06 07:20:00,193.3,193.39,193.22,193.35,4549
2023-12-06 07:25:00,193.37,193.41,193.36,193.41,651
2023-12-06 07:30:00,193.41,193.42,193.38,193.41,587
2023-12-06 07:35:00,193.41,193.42,193.33,193.33,2813
2023-12-06 07:40:00,193.35,193.4,193.33,193.39,2294
2023-12-06 07:45:00,193.39,193.41,193.33,193.4,4303
2023-12-06 07:50:00,193.42,193.48,193.4,193.45,1793
2023-12-06 07:55:00,193.45,193.56,193.42,193.51,6902
2023-12-06 08:00:00,193.33,193.93,193.2,193.465,40404
2023-12-06 08:05:00,193.465,193.5,193.35,193.46,16463
2023-12-06 08:10:00,193.475,193.77,193.475,193.77,15936
2023-12-06 08:15:00,193.77,193.85,193.66,193.69,30928
2023-12-06 08:20:00,193.69,193.74,193.57,193.625,5648
2023-12-06 08:25:00,193.599,193.7,193.59,193.68,5439
2023-12-06 08:30:00,193.66,194.03,193.66,194.0,41006
2023-12-06 08:35:00,194.05,194.05,193.8,193.92,12586
2023-12-06 08:40:00,193.925,194.04,193.91,193.96,41130
2023-12-06 08:45:00,193.96,194.02,193.88,193.88,15258
2023-12-06 08:50:00,193.92,194.0,193.86,193.96,11545
2023-12-06 08:55:00,193.97,194.09,193.92,194.05,20500
2023-12-06 09:00:00,194.05,194.29,194.04,194.29,38950
2023-12-06 09:05:00,194.28,194.33,194.08,194.185,27643
2023-12-06 09:10:00,194.17,194.2,194.05,194.145,30569
2023-12-06 09:15:00,194.145,194.15,194.02,194.035,28185
2023-12-06 09:20:00,194.01,194.15,193.95,194.04,39882
2023-12-06 09:25:00,194.09,194.47,193.769,194.47,133030
2023-12-06 09:30:00,194.45,194.76,193.5,193.51,2493505
2023-12-06 09:35:00,193.505,193.761,193.12,193.2,972516
2023-12-06 09:40:00,193.2,193.52,193.07,193.335,867247
2023-12-06 09:45:00,193.335,193.34,193.015,193.12,609674
2023-12-06 09:50:00,193.12,193.35,193.04,193.075,583394
2023-12-06 09:55:00,193.073,193.229,192.96,193.15,681222
