,v,vw,o,c,h,l,t,n
60,118.0,171.1000,171.1000,171.1000,171.1000,171.1000,2024-02-13,11:15:30,1
61,350.0,171.1114,171.1100,171.1100,171.1100,171.1100,2024-02-13,11:15:50,2
62,866.0,171.1631,171.1600,171.1600,171.1700,171.1600,2024-02-13,11:16:20,17
63,1200.0,171.0629,171.0600,171.0600,171.0600,171.0600,2024-02-13,11:17:50,13
64,250.0,171.1020,171.1000,171.1000,171.1000,171.1000,2024-02-13,11:18:05,2
65,1002.0,171.1790,171.1800,171.1900,171.1900,171.1800,2024-02-13,11:18:40,14
66,202.0,171.0873,171.0700,171.0700,171.0700,171.0700,2024-02-13,11:19:00,4
67,751.0,171.1331,171.1500,171.1100,171.1500,171.1100,2024-02-13,11:23:45,9
68,191.0,171.0896,171.1000,171.1000,171.1000,171.1000,2024-02-13,11:23:50,3
69,305.0,171.1000,171.1000,171.1000,171.1000,171.1000,2024-02-13,11:23:55,3
70,652.0,171.1225,171.1400,171.1400,171.1400,171.1400,2024-02-13,11:25:10,16
71,545.0,171.1460,171.1500,171.1500,171.1500,171.1500,2024-02-13,11:28:05,14
72,1100.0,171.1614,171.1700,171.1700,171.1700,171.1700,2024-02-13,11:29:10,28
73,584.0,171.0824,171.1000,171.1000,171.1000,171.1000,2024-02-13,11:31:45,17
74,297.0,171.1480,171.1500,171.1500,171.1500,171.1500,2024-02-13,11:32:50,5
75,150.0,171.1100,171.1100,171.1100,171.1100,171.1100,2024-02-13,11:35:10,1
76,250.0,171.1300,171.1300,171.1300,171.1300,171.1300,2024-02-13,11:44:00,4
77,429.0,171.0598,171.0500,171.0500,171.0500,171.0500,2024-02-13,11:46:10,12
78,269.0,171.0538,171.0500,171.0500,171.0500,171.0500,2024-02-13,11:46:20,5
79,250.0,171.0500,171.0500,171.0500,171.0500,171.0500,2024-02-13,11:46:30,2
80,220.0,171.0582,171.0600,171.0600,171.0600,171.0600,2024-02-13,11:49:35,3
81,2041.0,171.0000,171.0000,171.0000,171.0000,171.0000,2024-02-13,11:51:00,74
82,334.0,170.9255,170.9400,170.8900,170.9400,170.8900,2024-02-13,11:51:05,8
83,284.0,170.8700,170.8700,170.8700,170.8700,170.8700,2024-02-13,11:51:55,2
84,111.0,170.9100,170.9100,170.9100,170.9100,170.9100,2024-02-13,11:52:30,2
85,317.0,170.9016,170.9000,170.9000,170.9000,170.9000,2024-02-13,11:59:35,2
86,4859.0,171.0517,171.0100,171.1400,171.1400,171.0000,2024-02-13,12:00:00,127
87,504.0,171.1323,171.1300,171.1300,171.1300,171.1300,2024-02-13,12:00:15,13
88,617.0,171.1029,171.1000,171.0800,171.1000,171.0800,2024-02-13,12:00:25,13
89,1444.0,171.0008,171.0000,171.0000,171.0000,171.0000,2024-02-13,12:00:35,24
90,2408.0,170.9516,170.9800,170.9400,170.9800,170.9400,2024-02-13,12:00:45,27
91,171.0,170.9242,170.9200,170.9200,170.9200,170.9200,2024-02-13,12:00:50,3
92,12491.0,170.6977,170.8600,170.5100,170.8700,170.5000,2024-02-13,12:00:55,161
93,1320.0,170.4090,170.4500,170.3700,170.4500,170.3700,2024-02-13,12:01:00,29
94,3086.0,170.2168,170.3600,170.1100,170.3600,170.1100,2024-02-13,12:01:05,51
95,1411.0,170.1000,170.1000,170.1000,170.1000,170.1000,2024-02-13,12:01:10,6
96,1000.0,170.0321,170.0600,170.0100,170.0600,170.0100,2024-02-13,12:01:20,23
97,5767.0,170.0255,170.0000,170.0000,170.1100,170.0000,2024-02-13,12:01:25,177
98,1380.0,170.3976,170.3700,170.4000,170.4100,170.3700,2024-02-13,12:02:25,21
99,1000.0,170.2935,170.4000,170.2500,170.4000,170.2500,2024-02-13,12:02:35,8
100,425.0,170.1700,170.1700,170.1700,170.1700,170.1700,2024-02-13,12:02:50,2
101,14081.0,169.9714,170.1000,169.9000,170.1700,169.9000,2024-02-13,12:02:55,192
102,1050.0,169.8926,169.9100,169.8000,169.9100,169.8000,2024-02-13,12:03:00,27
103,400.0,169.8120,169.8100,169.8100,169.8100,169.8100,2024-02-13,12:03:10,3
104,1094.0,169.7744,169.8200,169.7600,169.8200,169.7600,2024-02-13,12:03:15,14
105,625.0,169.9210,169.9100,169.9100,169.9100,169.9100,2024-02-13,12:03:25,9
106,735.0,169.9772,169.9800,169.9900,169.9900,169.9800,2024-02-13,12:03:30,16
107,2571.0,169.8087,169.9500,169.7300,169.9500,169.7300,2024-02-13,12:03:35,36
108,200.0,169.9975,170.0000,170.0000,170.0000,170.0000,2024-02-13,12:03:40,2
109,200.0,169.9325,169.9100,169.9100,169.9100,169.9100,2024-02-13,12:03:50,3
110,1699.0,170.1168,170.0900,170.1200,170.1200,170.0900,2024-02-13,12:04:20,5
111,450.0,170.1500,170.1500,170.1500,170.1500,170.1500,2024-02-13,12:04:30,3
112,600.0,170.1767,170.1700,170.1800,170.1800,170.1700,2024-02-13,12:05:15,6
113,150.0,170.1200,170.1200,170.1200,170.1200,170.1200,2024-02-13,12:05:55,2
114,1065.0,170.1029,170.0900,170.1400,170.1400,170.0900,2024-02-13,12:06:00,20
115,1000.0,170.1400,170.1400,170.1400,170.1400,170.1400,2024-02-13,12:06:05,8
116,1439.0,170.1400,170.1400,170.1400,170.1400,170.1400,2024-02-13,12:06:15,9
117,2673.0,170.1118,170.1000,170.1000,170.1000,170.1000,2024-02-13,12:06:30,75
118,460.0,170.0920,170.1000,170.0800,170.1000,170.0800,2024-02-13,12:06:40,8
119,100.0,170.1000,170.1000,170.1000,170.1000,170.1000,2024-02-13,12:06:45,1
120,100.0,170.1000,170.1000,170.1000,170.1000,170.1000,2024-02-13,12:06:55,1
121,1422.0,170.2384,170.2500,170.2500,170.2500,170.2500,2024-02-13,12:07:50,37
122,750.0,170.1880,170.1900,170.1900,170.1900,170.1900,2024-02-13,12:08:30,3
123,550.0,170.1646,170.1700,170.1700,170.1700,170.1700,2024-02-13,12:08:40,5
124,100.0,170.1700,170.1700,170.1700,170.1700,170.1700,2024-02-13,12:09:05,1
125,177.0,170.1829,170.1800,170.1800,170.1800,170.1800,2024-02-13,12:09:20,6
126,377.0,170.1800,170.1800,170.1800,170.1800,170.1800,2024-02-13,12:09:40,3
127,250.0,170.1580,170.1600,170.1600,170.1600,170.1600,2024-02-13,12:10:00,3
128,235.0,170.1881,170.1900,170.1900,170.1900,170.1900,2024-02-13,12:10:10,6
129,600.0,170.1867,170.1700,170.1900,170.1900,170.1700,2024-02-13,12:10:30,4
