,v,vw,o,c,h,l,t,n
63,1438,169.5020,169.5100,169.5100,169.5100,169.5000,2024-02-13,10:21:30,29
64,724,169.5200,169.5200,169.5200,169.5200,169.5200,2024-02-13,10:22:15,2
65,187,169.4192,169.4200,169.4200,169.4200,169.4200,2024-02-13,10:26:15,4
66,579,169.3296,169.3300,169.3300,169.3300,169.3300,2024-02-13,10:26:55,7
67,115,169.1598,169.1600,169.1600,169.1600,169.1600,2024-02-13,10:28:25,4
68,495,169.1712,169.1700,169.1700,169.1700,169.1700,2024-02-13,10:28:30,10
69,186,169.1755,169.1700,169.1700,169.1700,169.1700,2024-02-13,10:28:35,4
70,350,169.3486,169.3500,169.3500,169.3500,169.3500,2024-02-13,10:30:40,4
71,295,169.3560,169.3600,169.3600,169.3600,169.3600,2024-02-13,10:30:45,6
72,207,169.3649,169.3600,169.3600,169.3600,169.3600,2024-02-13,10:30:55,3
73,392,169.5891,169.5900,169.5900,169.5900,169.5900,2024-02-13,10:31:45,9
74,315,169.6083,169.6100,169.6100,169.6100,169.6100,2024-02-13,10:32:00,2
75,513,169.6194,169.6100,169.6200,169.6200,169.6100,2024-02-13,10:32:05,6
76,200,169.7200,169.7200,169.7200,169.7200,169.7200,2024-02-13,10:32:45,1
77,498,169.5702,169.5500,169.5500,169.5500,169.5500,2024-02-13,10:34:45,18
78,300,169.5263,169.5400,169.5400,169.5400,169.5400,2024-02-13,10:34:55,6
79,448,169.5313,169.5400,169.5500,169.5500,169.5100,2024-02-13,10:35:30,7
80,146,169.5500,169.5500,169.5500,169.5500,169.5500,2024-02-13,10:35:35,1
81,101,169.5500,169.5500,169.5500,169.5500,169.5500,2024-02-13,10:36:05,1
82,665,169.5500,169.5500,169.5500,169.5500,169.5500,2024-02-13,10:36:10,3
83,100,169.5700,169.5700,169.5700,169.5700,169.5700,2024-02-13,10:36:15,1
84,294,169.5546,169.5500,169.5500,169.5500,169.5500,2024-02-13,10:36:25,4
85,105,169.3900,169.3900,169.3900,169.3900,169.3900,2024-02-13,10:41:50,2
86,100,169.4000,169.4000,169.4000,169.4000,169.4000,2024-02-13,10:42:45,1
87,502,169.4080,169.4100,169.4000,169.4100,169.4000,2024-02-13,10:43:45,10
88,134,169.4051,169.4000,169.4000,169.4000,169.4000,2024-02-13,10:43:55,2
89,521,169.4848,169.4900,169.5000,169.5000,169.4700,2024-02-13,10:47:50,8
90,449,169.5538,169.5500,169.5500,169.5500,169.5500,2024-02-13,10:49:25,12
91,194,169.5625,169.5500,169.5500,169.5500,169.5500,2024-02-13,10:50:30,4
92,254,169.5036,169.5000,169.5000,169.5000,169.5000,2024-02-13,10:51:20,2
93,405,169.4992,169.5000,169.5000,169.5000,169.5000,2024-02-13,10:51:40,8
94,200,169.4175,169.4100,169.4100,169.4100,169.4100,2024-02-13,10:53:05,3
95,100,169.4100,169.4100,169.4100,169.4100,169.4100,2024-02-13,10:53:15,1
96,710,169.3909,169.3800,169.4100,169.4100,169.3800,2024-02-13,10:54:55,31
97,623,169.4438,169.4300,169.4300,169.4300,169.4300,2024-02-13,10:56:35,18
98,604,169.4902,169.5100,169.5100,169.5100,169.5100,2024-02-13,10:58:35,12
99,397,169.5048,169.5100,169.5000,169.5100,169.5000,2024-02-13,10:58:40,5
100,300,169.5300,169.5300,169.5300,169.5300,169.5300,2024-02-13,11:01:35,1
101,157,169.5300,169.5300,169.5300,169.5300,169.5300,2024-02-13,11:02:05,1
102,380,169.5300,169.5300,169.5300,169.5300,169.5300,2024-02-13,11:02:20,1
103,100,169.5300,169.5300,169.5300,169.5300,169.5300,2024-02-13,11:02:30,1
104,173,169.5300,169.5300,169.5300,169.5300,169.5300,2024-02-13,11:02:50,2
105,834,169.5325,169.5300,169.5400,169.5400,169.5300,2024-02-13,11:03:00,6
106,150,169.6600,169.6500,169.6500,169.6500,169.6500,2024-02-13,11:07:00,2
107,400,169.6588,169.6500,169.6500,169.6500,169.6500,2024-02-13,11:07:40,7
108,630,169.6680,169.7000,169.6500,169.7000,169.6500,2024-02-13,11:09:55,12
109,169,169.6109,169.6100,169.6100,169.6100,169.6100,2024-02-13,11:11:05,7
110,100,169.4900,169.4900,169.4900,169.4900,169.4900,2024-02-13,11:12:30,1
111,148,169.4500,169.4500,169.4500,169.4500,169.4500,2024-02-13,11:13:30,2
112,101,169.4500,169.4500,169.4500,169.4500,169.4500,2024-02-13,11:13:55,1
113,390,169.2670,169.2500,169.2500,169.2500,169.2500,2024-02-13,11:17:20,19
114,573,169.2240,169.2300,169.2300,169.2300,169.2300,2024-02-13,11:18:35,16
115,1259,169.2319,169.2700,169.1500,169.2700,169.1500,2024-02-13,11:18:40,28
116,808,169.4170,169.4400,169.4400,169.4400,169.4400,2024-02-13,11:19:55,23
117,1071,169.4757,169.4900,169.5000,169.5000,169.4900,2024-02-13,11:20:30,18
118,294,169.4928,169.5000,169.5000,169.5000,169.5000,2024-02-13,11:23:30,7
119,1515,169.4300,169.5400,169.3800,169.5400,169.3800,2024-02-13,11:26:25,28
120,774,169.4981,169.5000,169.5000,169.5000,169.4900,2024-02-13,11:28:05,11
121,481,169.6005,169.6000,169.6000,169.6000,169.6000,2024-02-13,11:28:55,15
122,238,169.4816,169.4800,169.4800,169.4800,169.4800,2024-02-13,11:29:25,2
123,100,169.5400,169.5400,169.5400,169.5400,169.5400,2024-02-13,11:29:55,1
124,274,169.5400,169.5400,169.5400,169.5400,169.5400,2024-02-13,11:30:20,3
125,624,169.5219,169.5200,169.5200,169.5200,169.5200,2024-02-13,11:30:25,9
126,400,169.5300,169.5300,169.5300,169.5300,169.5300,2024-02-13,11:30:30,1
127,1777,169.6945,169.6700,169.6900,169.6900,169.6700,2024-02-13,11:37:55,39
128,2078,169.8727,169.9000,169.8800,169.9000,169.8800,2024-02-13,11:38:00,30
129,100,169.8000,169.8000,169.8000,169.8000,169.8000,2024-02-13,11:41:40,1
130,100,169.8000,169.8000,169.8000,169.8000,169.8000,2024-02-13,11:41:45,1
131,534,169.8744,169.8800,169.8800,169.8800,169.8800,2024-02-13,11:47:00,11
132,197,169.8063,169.8000,169.8000,169.8000,169.8000,2024-02-13,11:47:25,4
133,300,169.8622,169.8600,169.8600,169.8600,169.8600,2024-02-13,11:50:55,2
134,200,169.8647,169.8700,169.8700,169.8700,169.8700,2024-02-13,11:51:50,4
135,200,169.8403,169.8700,169.8700,169.8700,169.8700,2024-02-13,11:52:00,2
136,300,169.8730,169.8600,169.8800,169.8800,169.8600,2024-02-13,11:52:30,3
137,100,169.8800,169.8800,169.8800,169.8800,169.8800,2024-02-13,11:52:35,1
138,300,169.8902,169.8900,169.8900,169.8900,169.8900,2024-02-13,11:53:25,3
139,401,169.9304,169.9000,169.9400,169.9400,169.9000,2024-02-13,11:54:15,9
140,740,169.7994,169.7800,169.7800,169.7800,169.7800,2024-02-13,11:56:00,28
141,1000,169.7500,169.7500,169.7500,169.7500,169.7500,2024-02-13,11:59:50,2
142,12193,169.8557,169.7600,170.0000,170.0700,169.6600,2024-02-13,12:00:00,292
143,4243,170.5344,170.2500,170.7700,170.7700,170.2500,2024-02-13,12:00:20,95
144,303,170.4140,170.4000,170.4000,170.4000,170.4000,2024-02-13,12:01:05,8
145,1230,170.1875,170.1400,170.2000,170.2000,170.1400,2024-02-13,12:01:35,10
146,500,170.3853,170.3900,170.4000,170.4000,170.3900,2024-02-13,12:01:40,7
147,2177,170.1731,170.1600,170.1600,170.1600,170.1600,2024-02-13,12:01:50,27
148,6700,170.0119,170.0000,170.0000,170.0000,170.0000,2024-02-13,12:02:55,74
149,2796,169.9590,170.0000,169.8700,170.0000,169.8700,2024-02-13,12:03:00,23
150,2747,169.8708,169.8700,169.8700,169.8700,169.8700,2024-02-13,12:03:20,6
151,3331,169.6106,169.6900,169.6000,169.6900,169.5900,2024-02-13,12:03:30,84
152,425,169.5906,169.5600,169.6000,169.6000,169.5600,2024-02-13,12:03:35,5
153,450,169.6000,169.6000,169.6000,169.6000,169.6000,2024-02-13,12:03:40,6
154,1000,169.8164,169.8500,169.8500,169.8500,169.8500,2024-02-13,12:05:55,22
155,556,169.8455,169.8500,169.8500,169.8500,169.8500,2024-02-13,12:06:00,9
156,719,169.9001,169.9000,169.9100,169.9100,169.9000,2024-02-13,12:07:00,11
157,823,169.9449,169.9500,169.9500,169.9500,169.9500,2024-02-13,12:07:05,4
158,215,169.9000,169.9000,169.9000,169.9000,169.9000,2024-02-13,12:07:50,3
