Stock,Average Price
AMD,182.45850547945201
AMZN,173.771394520548
QQQ,437.5151095890411
BABA,75.99646438356166
TSM,130.14048219178085
NVDA,779.4161369863014
PDD,131.71720447761192
AAPL,183.8939493150685
KO,61.030484848484875
SPY,506.77832191780817
TSLA,196.40821232876704
WMT,58.27280833333332
ORCL,110.68683333333335
CRM,293.31472499999995
