Parameter Combination,Rank
"(60.0, 0.2, 0.5, 150.0, 0.1)",112.33333333333333
"(60.0, 0.2, 0.5, 50.0, 0.1)",112.33333333333333
"(60.0, 0.2, 0.1, 50.0, 0.1)",112.33333333333333
"(60.0, 0.1, 0.3, 150.0, 0.1)",112.5
"(60.0, 0.3, 0.2, 100.0, 0.1)",113.16666666666667
"(60.0, 0.2, 0.3, 50.0, 0.1)",115.0
"(60.0, 0.1, 0.5, 50.0, 0.1)",115.66666666666667
"(200.0, 0.2, 0.5, 50.0, 0.1)",117.16666666666667
"(120.0, 0.1, 0.1, 200.0, 0.1)",118.0
"(90.0, 0.2, 0.2, 200.0, 0.1)",118.0
"(200.0, 0.2, 0.1, 50.0, 0.1)",118.33333333333333
"(120.0, 0.1, 0.1, 150.0, 0.1)",118.66666666666667
"(90.0, 0.1, 0.1, 150.0, 0.1)",119.16666666666667
"(90.0, 0.1, 0.1, 50.0, 0.1)",119.16666666666667
"(90.0, 0.2, 0.1, 100.0, 0.1)",120.16666666666667
"(120.0, 0.2, 0.1, 100.0, 0.1)",120.5
"(120.0, 0.3, 0.1, 100.0, 0.1)",121.66666666666667
"(120.0, 0.3, 0.1, 50.0, 0.1)",122.66666666666667
"(90.0, 0.2, 0.2, 50.0, 0.1)",122.66666666666667
"(60.0, 0.3, 0.3, 150.0, 0.1)",123.0
"(60.0, 0.1, 0.5, 100.0, 0.1)",123.16666666666667
"(60.0, 0.3, 0.5, 100.0, 0.1)",123.16666666666667
"(90.0, 0.2, 0.1, 200.0, 0.1)",123.83333333333333
"(60.0, 0.3, 0.5, 50.0, 0.1)",124.66666666666667
"(200.0, 0.3, 0.2, 200.0, 0.1)",125.66666666666667
"(200.0, 0.3, 0.1, 50.0, 0.1)",125.83333333333333
"(120.0, 0.3, 0.2, 150.0, 0.1)",126.16666666666667
"(200.0, 0.3, 0.5, 50.0, 0.1)",126.5
"(90.0, 0.1, 0.2, 200.0, 0.1)",127.33333333333333
"(90.0, 0.1, 0.3, 200.0, 0.1)",127.66666666666667
"(120.0, 0.2, 0.1, 50.0, 0.1)",127.66666666666667
"(60.0, 0.2, 0.5, 100.0, 0.1)",128.16666666666666
"(30.0, 0.3, 0.3, 50.0, 0.1)",129.0
"(90.0, 0.3, 0.1, 150.0, 0.1)",129.0
"(90.0, 0.1, 0.1, 100.0, 0.1)",129.16666666666666
"(90.0, 0.3, 0.2, 200.0, 0.1)",129.83333333333334
"(90.0, 0.1, 0.2, 50.0, 0.1)",129.83333333333334
